State,County,Date,Raw Description,Information type,Mitigation type,Note,UserID,Source
USA,,1/17/2020,Public Health Screening to Begin at 3 U.S. Airports for 2019 Novel Coronavirus,government,movement restriction,,am50,https://www.cdc.gov/media/releases/2020/p0117-coronavirus-screening.html
USA,,1/31/2020,"January 31, 2020—HHS Secretary Azar Declares Public Health Emergency for the United States.",government,other,,"az17, BR30",https://www.nga.org/coronavirus/
USA,,1/31/2020,The White House announced that it would ban entry for most foreign nationals who had traveled to China within the last 14 days.,government,movement restriction,restriction on entry to USA,BR30,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154341
USA,,2/2/2020,"February 2, 2020—Department of Homeland Security directed all flights from China and all passengers who have traveled to China within the last 14 days to be routed through one of eight U.S. airports, with three airports added on February 3.",government,movement restriction,,"az17, BR30",https://www.nga.org/coronavirus/
USA,,2/2/2020,"February 2, 2020—State Department issued a travel advisory for China",government,movement restriction,,"az17, BR30",https://www.nga.org/coronavirus/
USA,,2/4/2020,"February 4, 2020—FDA issued an emergency use authorization to enable use of CDC’s diagnostic test, permitting its use by certified state and local public health laboratories across the United States and abroad.",government,other,,"az17, BR30",https://www.nga.org/coronavirus/
USA,,2/28/2020,"February 28, 2020—CDC updated its guidance on testing and evaluation of suspected cases, expanding the criteria for who should be tested.",government,other,,"az17, BR30",https://www.nga.org/coronavirus/
USA,,2/29/2020,President Donald Trump announced additional travel restrictions involving Iran and increased warnings about travel to Italy and South Korea.,government,movement restriction,restriction in travel outside of USA,"az17, BR30",https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154342
USA,,3/3/2020,"The CDC issues new guidance that allows anyone to be tested for the virus without restriction. Previously, only those who had traveled to an outbreak area, who had close contact with people diagnosed with COVID-19, or those with severe symptoms, could get tested.",government,other,lifts restrictions for testing,BR30,https://abcnews.go.com/Health/timeline-coronavirus-started/story?id=69435165
USA,,3/6/2020,"Trump signed an $8.3 billion emergency spending package to combat the coronavirus outbreak, as the number of global cases hit 100,000.",government,other,spending bill,BR30,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154343
USA,,3/11/2020,"March 11, 2020—The Department of Defense issued restrictions on foreign travel for DoD components.",government,movement restriction,,"az17, BR30",https://www.nga.org/coronavirus/
USA,,3/11/2020,"Trump announced a new restriction on many foreign travelers from 26 countries in Europe, except for Ireland and the United Kingdom, for the next 30 days.",government,movement restriction,restriction in travel outside of USA,"az17, BR30",https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154344
USA,,3/13/2020,"March 13, 2020—The Department of Defense issued restrictions on domestic travel for DoD components.",government,movement restriction,,"az17, BR30",https://www.nga.org/coronavirus/
USA,,3/13/2020,Trump declared a national state of emergency that could free up $50 billion to help fight the pandemic.,government,state of emergency,,"az17, BR30",https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154345
USA,,3/15/2020,The White House announced that the European travel ban would be extended to include the U.K. and Ireland.,government,movement restriction,restriction in travel outside of USA,BR30,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154346
USA,,3/15/2020,"The Centers for Disease Control and Prevention released guidelines recommending ""that for the next 8 weeks, organizers (whether groups or individuals) cancel or postpone in-person events that consist of 50 people or more throughout the United States.""",government,events cancelled,recommendation from CDC,BR30,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154347
USA,,3/16/2020,"President Trump advised all Americans to avoid gatherings of 10 or more people, to avoid going to bars and restaurants and to halt discretionary travel. The guidelines, from the administration’s coronavirus task force, will remain in effect for 15 days.",government,events cancelled/movement restriciton,,BR30,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154348
USA,,3/18/2020,The Trump administration suspended refugee admissions until April 6 due to the coronavirus pandemic.,government,movement restriction,suspended refugee admissions,BR30,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154349
USA,,3/18/2020,"President Trump signed a coronavirus aid bill into law. The Families First Coronavirus Response Act would provide free coronavirus testing and ensure paid emergency leave for those infected or caring for a family member with the illness, while also providing additional Medicaid funding, food assistance and unemployment benefits.",government,new public services,bill signed into law,BR30,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154350
USA,,3/18/2020,President Donald Trump announced Wednesday that his administration would be “temporarily closing” the northern border of the United States with Canada to “non-essential traffic.”,government,movement restriction,restriction in travel outside of USA,am50,https://www.pbs.org/newshour/politics/after-closures-at-u-s-canada-border-trump-may-halt-nonessential-travel-at-southern-border
USA,,3/19/2020,"The U.S. State Department raised the global travel advisory to Level 4: Do Not Travel, warning Americans against traveling internationally and for those abroad to consider returning immediately.",government,movement restriction,restriction in travel outside of USA,BR30,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154351
USA,,3/20/2020,"March 20, 2020 – President Trump Approves Major Disaster Declaration for New York.",government,other,,"az17, BR30",https://www.nga.org/coronavirus/
USA,,3/20/2020,The U.S. announced plans to close the border with Mexico to all “nonessential travel.” Acting Homeland Security Secretary Chad Wolf said all immigrants who lack proper entry documentation will be turned away.,government,movement restriction,Border closed,BR30,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154352
USA,,3/22/2020,"March 22, 2020 – President Trump approved Major Disaster Declarations for Washington and California",government,other,,"az17, BR30",https://www.nga.org/coronavirus/
USA,,3/22/2020,"President Trump announced that he would activate the federal National Guard to assist Washington, California and New York, three of the states hit hardest by the pandemic.",government,other,National Guard activation,BR30,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154353
USA,,3/23/2020,"March 23, 2020 – The President issued a second Defense Production Act Executive Order: Preventing Hoarding of Medical Resources to Respond to the Spread of COVID-19.",government,other,,"az17, BR30",https://www.nga.org/coronavirus/
USA,,3/24/2020,"The White House warned people who have been in New York recently to quarantine themselves for 14 days if they leave the state. With more than 25,000 cases, New York was the center of the coronavirus pandemic in the U.S.",government,other,,BR30,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154354
USA,,3/24/2020,"President Trump approved disaster declarations for the states of Iowa and Louisiana. Iowa had 124 confirmed cases and reported its first death that day, while Louisiana had more than 1,300 cases and 46 deaths.",government,other,disaster declaration approved,BR30,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154355
USA,,3/25/2020,"President Trump approved disaster declarations for Florida, Texas and North Carolina.",government,other,disaster declaration approved,BR30,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154356
USA,,3/25/2020,The Senate passed a massive $2 trillion stimulus package designed to ease the economic blow from the coronavirus pandemic. The bill was subsequently sent to the House.,government,other,bill passed by senate,BR30,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154357
USA,,3/26/2020,"March 26, 2020 – Department of Health and Human Services issued designation of scarce COVID-19 resources subject to hoarding prevention measures.",government,other,,"az17, BR30",https://www.nga.org/coronavirus/
USA,,3/27/2020,"March 27, 2020 – President signs Executive Order to Order the Select Reserve and Certain Members of the Individual Ready Reserve of the Armed Forces to Active Duty",government,other,,"az17, BR30",https://www.nga.org/coronavirus/
USA,,3/27/2020,"March 27, 2020 – President signs Memorandum on Order Under the Defense Production Act Regarding General Motors Company.",government,other,,"az17, BR30",https://www.nga.org/coronavirus/
USA,,3/27/2020,"March 27, 2020 – President signs Executive Order Delegating Additional Authority Under the DPA with Respect to Health and Medical Resources to Respond to the Spread of COVID-19.",government,other,,"az17, BR30",https://www.nga.org/coronavirus/
USA,,3/27/2020,President Trump signed a $2 trillion coronavirus economic stimulus bill after the legislation was passed in a bipartisan vote in the House.,government,other,bill signed into law,BR30,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154358
USA,,3/28/2020,"The U.S. Food and Drug Administration authorized the emergency use of a new, rapid coronavirus test that could give patients results in less than 15 minutes.",government,other,emergency authorization of new test,BR30,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154359
USA,,3/28/2020,"The Centers for Disease Control and Prevention issued a travel advisory for New York, New Jersey and Connecticut, asking residents to refrain from non-essential travel for 14 days.",government,movement restriction,domestic travel restiction,BR30,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154360
USA,,3/29/2020,President Trump extended his administration's guidelines on social distancing until April 30.,government,other,extension of social distancing,BR30,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154361
USA,,3/30/2020,"President Trump approved a disaster declaration for Rhode Island and Pennsylvania. The number of confirmed cases in Rhode Island rose to more than 400, while more than 4,000 cases and 49 deaths were confirmed in Pennsylvania.",government,other,disaster declaration approved,BR30,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154362
USA,,3/31/2020,The Federal Bureau of Prisons ordered a lockdown of its facilities in an effort to curb the spread of the coronavirus.,government,other,,BR30,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154363
USA,,3/31/2020,President Trump approved disaster declarations for Montana and Ohio.,government,other,disaster declaration approved,BR30,https://www.nbcnews.com/health/health-news/coronavirus-timeline-tracking-critical-moments-covid-19-n1154364
USA,,4/2/2020,Trump invokes Defense Production Act for ventilator equipment and N95 masks,government,other,,am50,https://www.cnn.com/2020/04/02/politics/defense-production-act-ventilator-supplies/index.html
USA,,4/3/2020,The White House and the CDC recommended Americans wear cloth face coverings in public to prevent the spread of the virus.,government,wear masks,,"az17, BR30",https://www.cnn.com/2020/04/03/health/us-coronavirus-friday/index.html
USA,,4/9/2020,The House Oversight and Reform Committee releases federal documents showing that the national stockpile of personal protective equipment is almost empty. ,government,other,,am50,https://fortune.com/2020/04/09/us-stockpile-medical-protective-gear-almost-empty-coronavirus/
USA,,4/13/2020,"April 13, 2020 – Treasury Launches Web Portal and Begins Disbursement of CARES Act Funding to State, Local, and Tribal Governments",government,new public services,,"az17, BR30",https://www.nga.org/coronavirus/
Alabama,Auburn,3/2/2020,universities suspend abroad travel,government,movement restriction,,CR08,https://www.waff.com/2020/03/03/some-universities-alabama-suspend-study-abroad-activity/
Alabama,,3/6/2020,Ivey establishes Coronavirus Task Force,government,new public services,,CR08,https://www.wtok.com/content/news/Ivey-establishes-Coronavirus-Task-Force-568560511.html
Alabama,,3/11/2020,state health department covid-19 explaination and description of statewide cases,government,other,"Testing, Awareness. The date is the last updated, not when it was originally published",CR08,https://www.alabamapublichealth.gov/infectiousdiseases/2019-coronavirus.html
Alabama,,3/12/2020,ADPH on Thursday announced it was training two additional microbiologists to help in COVID-19 testing,government,other,Testing,CR08,https://www.montgomeryadvertiser.com/story/news/2020/03/12/coronavirus-alabama-training-scientists-help-covid-19-testing/5035148002/
Alabama,,3/12/2020,NCAA cancels remaining winter and spring championships,other,events cancelled,,DY26,https://www.ncaa.org/about/resources/media-center/news/ncaa-cancels-remaining-winter-and-spring-championships
Alabama,,3/12/2020,University of Alabama classes going online in response to COVID-19 threat,other,school closing,,BD62,https://www.cbs42.com/news/health/coronavirus/university-of-alabama-classes-going-online-in-response-to-covid-19-threat/
Alabama,,3/12/2020,State legislators approved a $5 million public health appropriate,government,new public service,,BD62,https://www.montgomeryadvertiser.com/story/news/2020/03/12/coronavirus-alabama-department-public-health-approves-covid-19-funding/5031261002/
Alabama,Montgomery,3/13/2020,"First Coronovirus case in Alabama Identified, all city sponsored event canceled",government,events cancelled,Social Distancing,CR08,https://www.montgomeryadvertiser.com/story/news/2020/03/13/coronavirus-alabama-montgomery-county-covid-19-update-hospital-kay-ivey/4934577002/
Alabama,,3/13/2020,Public School Are closed,government,school closing,Social Distancing,CR08,https://www.dothanfirst.com/news/watch-live-gov-ivey-expected-to-make-major-coronavirus-announcement/
Alabama,,3/13/2020,State of Emergency: Coronavirus (COVID-19),government,state of emergency,,CR08,https://governor.alabama.gov/newsroom/2020/03/state-of-emergency-coronavirus-covid-19/
Alabama,Birmingham,3/13/2020,"Starting April 6, Birmingham Southern College will be moving to online classes, the same as many colleges across Alabama that have been dealing with concerns over the worldwide coronavirus pandemic.",other,school closing,remote teaching instead,DY26,https://www.cbs42.com/news/health/coronavirus/birmingham-southern-college-going-to-online-classes-next-month-due-to-covid-19-concerns/
Alabama,,3/13/2020,"Six COVID-19 cases now confirmed in Alabama, including Limestone County",government,other,cases report,BD62,https://www.waff.com/2020/03/13/governor-ivey-releases-statement-alabamas-first-confirmed-coronavirus-case/
Alabama,,3/13/2020,"Several worship centers announced a halt to services, just hours after Gov. Kay Ivey revealed that a Montgomery County man had officially tested positive for the coronavirus.",other,non-essential closing,,BD62,https://www.montgomeryadvertiser.com/story/news/2020/03/13/montgomery-alabama-churches-cancel-services-after-first-official-cornona-virus-case/5043969002/
Alabama,Jefferson County,3/13/2020,"Jefferson County jury trials suspended, other changes to courts due to COVID-19",government,public service reduction,,BD62,https://www.cbs42.com/news/local/jefferson-county-jury-trials-suspended-other-changes-to-courts-due-to-covid-19/
Alabama,,3/13/2020,"nursing homes restrict, prohibit visitors",other,other,,BD62,https://www.al.com/coronavirus/2020/03/alabama-nursing-homes-restrict-prohibit-visitors-to-guard-against-coronavirus.html
Alabama,,3/13/2020,The Alabama High School Athletic Association announced in a news release that the organization will postpone its March 16 High School Sports Hall of Fame banquet due to health concerns surrounding the COVID-19.,other,events cancelled,,BD62,https://www.montgomeryadvertiser.com/story/sports/2020/03/13/covid-19-ahsaa-postpones-alabama-high-school-sports-hall-fame-banquet-coronavirus/5041702002/
Alabama,Baldwin,3/14/2020,description of healthcare workers in baldwin increasing their PPE and procedures for the increasing number of covid-19 patients after total cases in state reach 7,government,other,"PPE, Protective Procedure Training",CR08,https://abc3340.com/news/local/7th-case-of-covid-19-in-alabama-confirmed-in-baldwin-county
Alabama,,3/14/2020,Alabama Supreme Court suspends most court hearings,government,public service reduction,,BD62,https://www.montgomeryadvertiser.com/story/news/2020/03/14/covid-19-coronavirus-outbreak-alabama-supreme-court-hearings-suspended/5050131002/
Alabama,Baldwin County,3/14/2020,North Baldwin Infirmary announced its first positive case of COVID-19.,other,other,,BD62,https://mynbc15.com/news/local/baldwin-county-confirms-first-positive-case-of-covid-19
Alabama,,3/15/2020,all interest will be waived for any tax payment due in connection with a tax return due on or after March 15.,government,other,,BD62,https://www.wvtm13.com/article/gov-ivey-postpones-state-tax-payment-date-in-response-to-coronavirus-impact/31901089
Alabama,Jefferson,3/16/2020,"county declares state of emergency as cases rise to 12. Birmingham city declares state of emergency, limit meetings of people to 25, using text service to distribute covid-19 information",government,"public service reduction, state of emergency",,CR08,https://alabamanewscenter.com/2020/03/16/jefferson-county-and-birmingham-now-under-states-of-emergency-because-of-coronavirus/
Alabama,,3/16/2020,ADPH offers new recommendations regarding public gatherings in response to COVID-19,government,events cancelled,,CR08,http://www.alabamapublichealth.gov/news/2020/03/16.html
Alabama,,3/16/2020,Alabama employees who are unable to work due to COVID-19 will be eligible to file for unemployment benefits.,government,new public service,,BD62,https://www.wsfa.com/2020/03/16/alabama-announces-support-workers-impacted-by-covid-/
Alabama,,3/18/2020,Governor Ivey Announces New Primary Runoff Election Date,government,events cancelled,,CR08,https://governor.alabama.gov/newsroom/2020/03/governor-ivey-announces-new-primary-runoff-election-date/
Alabama,,3/18/2020,Gov. Kay Ivey is using powers granted to her under the Alabama Emergency Management Act of 1955 to postpone the state’s upcoming primary runoff elections.,government,events cancelled,,BD62,https://www.wsfa.com/2020/03/18/alabama-primary-runoff-election-delayed-covid-precaution/
Alabama,,3/19/2020,"Governor Ivey, ADPH issue statewide health order",government,"public service reduction, events cancelled, non-essential closing","beaches, preschools, childcare, hospitals, nursing homes, dental, are prohibited to visitation outside of a few edge cases",CR08,https://www.wbrc.com/2020/03/19/governor-ivey-issues-statewide-health-order/
Alabama,,3/19/2020,Gov. Kay Ivey closes all Alabama beaches both public and private because of coronavirus,government,public service reduction,,CR08,https://www.al.com/news/2020/03/gov-kay-ivey-closes-alabama-beaches-because-of-coronavirus.html
Alabama,,3/19/2020,"issued a health order Thursday that puts statewide restrictions on restaurants, hospital visitors, day cares, beaches and more.",government,other,Restrictions,BD62,https://www.wsfa.com/2020/03/19/alabama-issues-new-statewide-restrictions-restaurants-day-cares-more/
Alabama,,3/19/2020,Alabama's price gouging law has been activated,government,other,,BD62,https://whnt.com/news/alabama-news/alabama-attorney-general-activates-price-gouging-law-in-response-to-covid-19-outbreak/
Alabama,,3/20/2020,Governor Ivey authorizes National Guard to help with COVID-19 operations if necessary,government,new public services,,CR08,https://abc3340.com/news/local/governor-ivey-authorizes-national-guard-to-help-with-covid-19-if-necessary
Alabama,,3/20/2020,State Health Officer issues amended health order suspending public gatherings,government,events cancelled,,CR08,http://www.alabamapublichealth.gov/news/2020/03/20.html
Alabama,,3/20/2020,"Auburn University postpones spring graduation ceremony, resuming online-only classes after break",other,school closing,,CR08,https://www.cbs42.com/news/health/coronavirus/auburn-university-postpones-spring-graduation-ceremony-resuming-online-only-classes-after-break/
Alabama,,3/20/2020,STATE HEALTH OFFICER ISSUES MANDATORY HEALTH ORDERS DUE TO RISKS CAUSED BY COVID-19,government,non-essential closing,suspending public gatherings,DY26,https://ema.alabama.gov/2020/03/20/state-health-officer-issues-mandatory-health-orders-due-to-risks-caused-by-covid-19/
Alabama,,3/20/2020,Alabama to Waive Employer Charges for COVID-19 Related Claims,government,new public service,,BD62,https://www.alabamanews.net/2020/03/20/alabama-to-waive-employer-charges-for-covid-19-related-claims/
Alabama,,3/21/2020,ALABAMA SMALL BUSINESSES CAN SEEK SBA COVID-19 DISASTER LOANS,government,new public service,financial aid,"DY26, BD62",https://ema.alabama.gov/2020/03/21/gov-ivey-alabama-small-businesses-can-seek-sba-covid-19-disaster-loans/
Alabama,,3/22/2020,Alabama police officers can now enforce the emergency State Health Orders for COVID-19,government,other,,BD62,https://abc3340.com/news/local/alabama-police-officers-can-now-enforce-state-health-orders-for-covid-19
Alabama,,3/23/2020,a new date for tax payments as the confirmed cases of the Coronavirus (COVID-19) in Alabama continue to grow.,government,other,,BD62,https://www.wvtm13.com/article/gov-ivey-postpones-state-tax-payment-date-in-response-to-coronavirus-impact/31901088
Alabama,Birmingham,3/24/2020,City of Birmingham considering extension of shelter-in-place order,government,stay at home,,CR08,https://www.wsfa.com/2020/03/24/birminghams-mayor-proposes-ordinance-shelter-place-during-coronavirus-outbreak/
Alabama,Tuscaloosa,3/25/2020,"Tuscaloosa Mayor Walt Maddox issues 24-hour curfew, asking residents to stay home",government,stay at home,,CR08,https://www.wsfa.com/2020/03/25/tuscaloosa-mayor-walt-maddox-issues-curfew-city/
Alabama,,3/25/2020,Alabama abortion clinics deemed essential amid COVID-19 business closures,government,other,,BD62,https://www.al.com/news/2020/03/alabama-abortion-clinics-deemed-essential-amid-covid-19-business-closures.html
Alabama,,3/27/2020,All ‘non-essential businesses’ closed statewide until April 17; Ivey doesn’t issue shelter-in-place,government,non-essential closing,,CR08,https://www.al.com/news/2020/03/all-non-essential-businesses-closed-statewide-ivey-doesnt-issue-shelter-in-place.html
Alabama,Montgomery,3/27/2020,"Montgomery mayor enacts indefinite, seven-hour curfew starting 10 p.m. tonight",government,stay at home,,CR08,https://www.al.com/news/montgomery/2020/03/montgomery-mayor-enacts-indefinite-seven-hour-curfew-starting-10-pm-tonight.html
Alabama,Mobile,3/28/2020,Bishops call off public Mass for Easter in Alabama,other,events cancelled,,CR08,https://www.al.com/coronavirus/2020/03/archbishop-rodi-calls-off-public-mass-for-easter-in-south-alabama.html
Alabama,,3/28/2020,Checkpoints set up along Florida-Alabama border to keep COVID-19 from spreading in the sunshine state,government,movement restriction,,BD62,https://www.wkrg.com/health/coronavirus/checkpoints-set-up-along-florida-alabama-border-to-keep-covid-19-from-spreading-in-the-sunshine-state/
Alabama,,3/28/2020,"all nonwork-related gatherings of 10 persons or more, or nonwork-related gatherings of any size that cannot maintain a consistent 6-foot distance between persons, are prohibited.",government,stay at home,,BD62,https://www.birminghamtimes.com/2020/03/alabama-tightens-public-restrictions-to-slow-spread-of-covid-19/
Alabama,,3/28/2020,"“nonessential” businesses, venues and activities shall be closed to nonemployees or not take place.",government,non-essential closing,,BD62,https://www.birminghamtimes.com/2020/03/alabama-tightens-public-restrictions-to-slow-spread-of-covid-19/
Alabama,,3/30/2020,President Trump declares COVID-19 pandemic major disaster in Alabama,government,state of emergency,,BD62,https://www.wkrg.com/health/coronavirus/president-trump-declares-covid-19-pandemic-major-disaster-in-alabama/
Alabama,,3/30/2020,"On March 30, the ADOC verified that a staff member who works at Staton Correctional Facility has tested positive for COVID-19. This individual is now self-quarantining for a 14-day period.",government,other,,BD62,https://www.rocketcitynow.com/article/news/local/alabama-department-of-corrections-covid-19/525-6ad41a40-7acf-4f19-ba80-021ebbcab786
Alabama,Birmingham,4/2/2020,World Games in Birmingham rescheduled to July 2022,other,events cancelled,reschedule events,"DY26, CR08",https://abc3340.com/news/local/world-games-rescheduled-to-july-2022
Alabama,,4/3/2020,STATE HEALTH OFFICER ISSUES STAY AT HOME ORDER AND STRICT QUARANTINE REQUIREMENTS,government,stay at home,health order effective until April 30,DY26,https://ema.alabama.gov/2020/04/03/state-health-officer-issues-stay-at-home-order-and-strict-quarantine-requirements/
Alabama,,4/7/2020,GOVERNOR IVEY ISSUES STAY AT HOME ORDER. Governor Kay Ivey on Friday issued a Stay at Home order to be applied statewide.,government,stay at home,"from Saturday, April 4, at 5:00 p.m. to Thursday, April 30, 2020 at 5:00 p.m",DY26,https://ema.alabama.gov/2020/04/03/governor-ivey-issues-stay-at-home-order/
Alabama,,4/9/2020,Alabama labor department begins paying federal $600 stimulus benefit,government,new public service,,BD62,https://www.fox10tv.com/news/coronavirus/alabama-labor-department-begins-paying-federal-600-stimulus-benefit/article_9c913a9a-7a64-11ea-b277-bb41ed57c16f.html
Alaska,,3/6/2020,Division of Insurance issued a bulletin regarding covrage requirements for cost sharing and coverage of respiratory viruses including COVID-19,government,other,insurance,KS59,https://www.nga.org/coronavirus/
Alaska,,3/11/2020,Issued a declaration of public health disaster emergency,government,state of emergency,,KS59,https://www.nga.org/coronavirus/
Alaska,Anchorage,3/12/2020,First COVID-19 case in Alaska,other,,First registered case,dm33,http://www.youralaskalink.com/news/alaska-coronavirus-outbreak-timeline-updated-10-april-11-cases-246-total/table_22a0234c-760c-11ea-a2da-e756132e10a0.html
Alaska,,3/12/2020,the Alaska Folk Festival’s Board of Directors has cancelled the event.,other,events cancelled,,KS59,https://www.ktoo.org/2020/03/12/alaska-folk-festival-cancelled-for-first-time-in-46-year-history/
Alaska,,3/13/2020,Suspending and limiting public visitation and state institutions,government,stay at home,first COVID-19 health mandate,KS59,https://www.nga.org/coronavirus/
Alaska,,3/13/2020,"In addition to health mandate, schools are closed from Mar 16 - Mar 30",government,school closing,first COVID-19 health mandate,KS59,https://www.nga.org/coronavirus/
Alaska,,3/15/2020,Alaska state basketball tournaments canceled,other,events cancelled,,KS59,https://www.ktoo.org/2020/03/11/amid-coronavirus-concern-alaska-state-basketball-tournaments-postponed/
Alaska,,3/15/2020,ASAA has canceled the Alaska Association of Student Governments Spring Conference to be held at Mt. Edgecumbe High School in Sitka.,oter,events cancelled,,KS59,https://www.ktoo.org/2020/03/11/amid-coronavirus-concern-alaska-state-basketball-tournaments-postponed/
Alaska,,3/16/2020,"All libraries, museums and archives will be closed to the public from March 17 through March 31.",government,public services reduction,second COVID-19 health mandate,KS59,https://www.livescience.com/coronavirus-alaska.html
Alaska,Anchorage,3/16/2020,City ristricts gathering to 50 people,government,public service reduction,restricted gatherings,dm33,https://www.kfyrtv.com/content/misc/Coronavirus-COVID-19-timeline-568879571.html
Alaska,,3/17/2020,"bars, breweries, restaurants, and other establishments serving food or beverages were restricted to take-out and delivery",government,non-essential closing,until April 1,KS59,https://gov.alaska.gov/newsroom/2020/03/17/governor-issues-covid-19-health-mandates-003-and-004/
Alaska,,3/17/2020,Governor Dunleavy announced the creation of the Alaska Economic Stabilization Team (AEST).,government,,Alaska Economic Stabilization,dm33,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alaska
Alaska,,3/18/2020,entertainment venues such as movie theaters and gyms were closed,government,non-essential closing,cultural activity limitation,KS59,https://gov.alaska.gov/newsroom/2020/03/17/governor-issues-covid-19-health-mandates-003-and-004/
Alaska,,3/18/2020,AEL&P will temporarily suspend late fees and defer non-payment disconnections.,other,other,suspend late fees,KS59,https://www.aelp.com/About-Us/Latest-News/covid-19-related-updates
Alaska,,3/19/2020,"An order was issued requiring patients, providers, hospitals, and surgical centers to postpone or cancel non-urgent or elective procedures in order help prevent the spread of COVID-19 and thereby decrease the overall impact on the Alaska health care structure. These actions can preserve staff personal protective equipment (PPE) and patient care supplies; ensure staff and patient safety; and expand available hospital capacity.",government,movement restriction,cancel or postpone non-urgent or elective procedures,dm33,https://gov.alaska.gov/home/covid19-healthmandates/
Alaska,,3/19/2020,The Alaska Marine Highway System will begin turning away ferry passengers with coronavirus- or flu-like symptoms. That’s in an effort to avoid disruptions or a situation involving potentially infected passengers quarantined on board. Anyone turned away will be given a full refund.,other,other,fairy screening,KS59,https://www.ktoo.org/coronavirus/
Alaska,,3/20/2020,"Extended school closure (public and private) untilMay 1,",government,school closing,,KS59,https://www.livescience.com/coronavirus-alaska.html
Alaska,,3/20/2020,"Southeast Alaska Regional Health Consortium is offering curbside coronavirus testing in Juneau, Sitka, Wrangell, Haines and Klawock. A vehicle is not required. Walk-up patients will be swabbed.",other,new public services,drive-thru testing,KS59,chttps://www.ktoo.org/2020/03/20/curbside-coronavirus-testing-available-in-some-southeast-alaska-communities/
Alaska,Ketchikan,3/21/2020,The small town had 6 positive cases and sheltered in place for the following 14 days,other,stay at home,14 day shelter in place,dm33,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alaska
Alaska,,3/22/2020,"Venetie, Arctic Village, Chalkyitsik and Nulato suspended passenger flights except in the case of medical emergencies. These communities was devastated by earlier epidemics that wiped out more than half of the village and is seeking to protect today’s elders. ",other,movement restriction,remote villages restrict travel to only medical emergencies,dm33,https://www.thehour.com/news/article/Alaska-villages-to-ban-restrict-air-travel-amid-15148159.php
Alaska,,3/22/2020,"people should stay at home as much as possible, except to work critical jobs, get groceries or other important goods, receive or deliver health care or get fresh air without contacting others.",other,stay at home,,KS59,https://www.livescience.com/coronavirus-alaska.html
Alaska,,3/23/2020,Health Mandate 009 Personal Care Services & Gatherings Statewide to limit all close contacts (people outside of a family unit) to be farther than six feet from each other to prevent the spread of the virus that causes COVID-19.,government,other,social distancing,dm33,https://www.nga.org/coronavirus/
Alaska,,3/23/2020,everyone arriving in Alaska to self-quarantine for 14 days upon arrival,other,movement restriction,domestic traveller quarantine,dm33,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alaska
Alaska,,3/28/2020,"all persons in Alaska, except for those engaged in essential health care services, public government services, and essential business activities, are mandated to remain at their place of residence and practice social distancing",government,stay at home,blanket curfew - no symptoms,KS59,https://gov.alaska.gov/newsroom/2020/03/27/governor-issues-covid-19-health-mandates-on-social-distancing-limiting-intrastate-travel-2/
Alaska,,3/28/2020,"all in-state travel between communities, whether resident, worker, or visitor, is prohibited unless travel is to support critical infrastructure; or for critical personal needs",government,movement restriction,domestic travel ban,KS59,https://gov.alaska.gov/newsroom/2020/03/27/governor-issues-covid-19-health-mandates-on-social-distancing-limiting-intrastate-travel-2/
